# Snapshot taken on Thu Apr 27 18:30:52 EDT 2017 from: https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
	City	State	Count (2015)	Census (2010)	Change	Land area (2014) [English]	Land area (2014) [SI]	Population density (2010) [English]	Population density (2010) [SI]	Location
24	Memphis	Tennessee	655,770	646,889	+1.37%	315.1 sq mi	816.0 km2	2,053 per sq mi	793 km−2	35.1035°N 89.9785°W
25	Nashville[14]	Tennessee	654,610	601,222	+8.88%	475.1 sq mi	1,230.8 km2	1,265 per sq mi	489 km−2	36.1718°N 86.7850°W
26	Portland	Oregon	632,309	583,776	+8.31%	133.4 sq mi	345.6 km2	4,375 per sq mi	1,689 km−2	45.5370°N 122.6500°W
27	Oklahoma City	Oklahoma	631,346	579,999	+8.85%	606.4 sq mi	1,570.6 km2	956 per sq mi	369 km−2	35.4671°N 97.5137°W
28	Las Vegas	Nevada	623,747	583,756	+6.85%	135.8 sq mi	351.8 km2	4,298 per sq mi	1,660 km−2	36.2277°N 115.2640°W
29	Baltimore[15]	Maryland	621,849	620,961	+0.14%	80.9 sq mi	209.6 km2	7,672 per sq mi	2,962 km−2	39.3002°N 76.6105°W
30	Louisville[16]	Kentucky	615,366	597,337	+3.02%	325.2 sq mi	842.4 km2	1,837 per sq mi	709 km−2	38.1781°N 85.6667°W
31	Milwaukee	Wisconsin	600,155	594,833	+0.89%	96.1 sq mi	249.0 km2	6,188 per sq mi	2,389 km−2	43.0633°N 87.9667°W
32	Albuquerque	New Mexico	559,121	545,852	+2.43%	187.7 sq mi	486.2 km2	2,908 per sq mi	1,123 km−2	35.1056°N 106.6474°W
33	Tucson	Arizona	531,641	520,116	+2.22%	226.7 sq mi	587.2 km2	2,294 per sq mi	886 km−2	32.1543°N 110.8711°W
34	Fresno	California	520,052	494,665	+5.13%	113.2 sq mi	293.2 km2	4,418 per sq mi	1,706 km−2	36.7827°N 119.7945°W
